iter	Passed	Remaining
411	3907	5576
412	3915	5565
413	3923	5553
414	3931	5542
415	3940	5532
416	3950	5522
417	3957	5510
418	3969	5503
419	3979	5495
420	3987	5483
421	3996	5473
422	4004	5462
423	4012	5451
424	4020	5438
425	4028	5428
426	4037	5417
427	4045	5406
428	4053	5394
429	4062	5384
430	4070	5374
431	4079	5363
432	4086	5351
433	4095	5340
434	4104	5330
435	4112	5319
436	4120	5308
437	4128	5297
438	4137	5287
439	4146	5277
440	4154	5265
441	4163	5256
442	4171	5245
443	4179	5233
444	4187	5222
445	4195	5211
446	4205	5202
447	4217	5197
448	4231	5192
449	4246	5190
450	4261	5187
451	4275	5183
452	4287	5177
453	4300	5171
454	4311	5164
455	4324	5158
456	4335	5151
457	4345	5142
458	4356	5134
459	4368	5128
460	4378	5119
461	4390	5112
462	4402	5106
463	4412	5096
464	4420	5085
465	4428	5074
466	4436	5063
467	4443	5051
468	4451	5039
469	4460	5029
470	4468	5019
471	4477	5008
472	4485	4997
473	4493	4986
474	4502	4976
475	4510	4964
476	4518	4954
477	4527	4943
478	4536	4933
479	4543	4922
480	4552	4911
481	4560	4901
482	4569	4890
483	4577	4879
484	4586	4869
485	4595	4859
486	4603	4849
487	4610	4837
488	4619	4827
489	4627	4816
490	4635	4805
491	4643	4794
492	4652	4784
493	4660	4773
494	4669	4763
495	4677	4752
496	4685	4742
497	4694	4732
498	4704	4722
499	4712	4712
500	4720	4701
501	4728	4690
502	4737	4680
503	4745	4670
504	4754	4660
505	4762	4649
506	4771	4639
507	4779	4629
508	4787	4617
509	4795	4607
510	4804	4598
511	4813	4587
512	4821	4577
513	4829	4566
514	4838	4556
515	4846	4545
516	4854	4535
517	4863	4525
518	4871	4514
519	4880	4504
520	4887	4493
521	4896	4483
522	4904	4473
523	4914	4463
524	4921	4453
525	4930	4442
526	4939	4433
527	4973	4446
528	5033	4481
529	5058	4485
530	5071	4479
531	5084	4473
532	5096	4465
533	5107	4456
534	5120	4450
535	5131	4442
536	5141	4432
537	5158	4429
538	5170	4421
539	5178	4411
540	5187	4400
541	5195	4390
542	5203	4379
543	5211	4368
544	5220	4358
545	5229	4348
546	5237	4337
547	5246	4327
548	5256	4318
549	5265	4308
550	5275	4298
551	5286	4290
552	5297	4281
553	5306	4271
554	5316	4262
555	5325	4252
556	5333	4241
557	5342	4231
558	5350	4221
559	5359	4210
560	5367	4200
561	5375	4189
562	5384	4179
563	5392	4168
564	5400	4157
565	5408	4147
566	5417	4137
567	5425	4126
568	5433	4115
569	5444	4107
570	5454	4098
571	5462	4087
572	5470	4076
573	5479	4066
574	5488	4056
575	5496	4046
576	5504	4035
577	5513	4025
578	5523	4015
579	5531	4005
580	5542	3997
581	5552	3988
582	5563	3979
583	5574	3970
584	5583	3961
585	5593	3951
586	5603	3942
587	5611	3931
588	5619	3921
589	5628	3910
590	5636	3900
591	5645	3891
592	5654	3880
593	5662	3870
594	5671	3860
595	5679	3849
596	5688	3839
597	5696	3829
598	5704	3819
599	5712	3808
600	5722	3798
601	5730	3788
602	5738	3778
603	5746	3767
604	5756	3758
605	5765	3748
606	5773	3738
607	5782	3728
608	5791	3718
609	5800	3708
610	5808	3698
611	5819	3689
612	5828	3679
613	5837	3670
614	5847	3660
615	5860	3653
616	5872	3645
617	5882	3636
618	5891	3626
619	5902	3617
620	5911	3608
621	5921	3598
622	5930	3588
623	5941	3579
624	5950	3570
625	5960	3561
626	5970	3551
627	5979	3542
628	5989	3532
629	5999	3523
630	6015	3517
631	6046	3520
632	6072	3520
633	6086	3513
634	6096	3504
635	6113	3499
636	6122	3488
637	6131	3478
638	6141	3469
639	6152	3461
640	6163	3451
641	6173	3442
642	6184	3433
643	6192	3423
644	6202	3413
645	6211	3403
646	6218	3392
647	6227	3382
648	6235	3372
649	6243	3362
650	6251	3351
651	6259	3341
652	6268	3330
653	6277	3321
654	6286	3311
655	6295	3301
656	6304	3291
657	6312	3280
658	6320	3270
659	6330	3261
660	6338	3250
661	6346	3240
662	6354	3230
663	6363	3220
664	6372	3210
665	6381	3200
666	6390	3190
667	6399	3180
668	6407	3170
669	6415	3159
670	6423	3149
671	6432	3139
672	6440	3129
673	6448	3119
674	6456	3108
675	6465	3098
676	6474	3088
677	6482	3078
678	6491	3068
679	6499	3058
680	6507	3048
681	6515	3038
682	6525	3028
683	6535	3019
684	6544	3009
685	6553	2999
686	6563	2990
687	6573	2981
688	6582	2971
689	6594	2962
690	6602	2952
691	6611	2942
692	6620	2932
693	6629	2923
694	6638	2913
695	6646	2902
696	6655	2893
697	6663	2883
698	6671	2872
699	6679	2862
700	6688	2852
701	6698	2843
702	6706	2833
703	6714	2823
704	6722	2812
705	6730	2802
706	6739	2793
707	6748	2783
708	6755	2772
709	6763	2762
710	6771	2752
711	6780	2742
712	6788	2732
713	6795	2722
714	6806	2712
715	6815	2703
716	6823	2693
717	6832	2683
718	6840	2673
719	6850	2664
720	6860	2654
721	6871	2645
722	6880	2636
723	6890	2626
724	6899	2617
725	6908	2607
726	6917	2597
727	6926	2587
728	6935	2578
729	6943	2568
730	6952	2558
731	6959	2548
732	6967	2537
733	6975	2527
734	6984	2518
735	6993	2508
736	7001	2498
737	7009	2488
738	7021	2479
739	7029	2469
740	7036	2459
741	7045	2449
742	7053	2439
743	7061	2429
744	7069	2419
745	7077	2409
746	7086	2400
747	7094	2390
748	7102	2380
749	7112	2370
750	7122	2361
751	7131	2352
752	7142	2342
753	7151	2333
754	7162	2324
755	7170	2314
756	7180	2304
757	7189	2295
758	7199	2285
759	7208	2276
760	7216	2266
761	7225	2256
762	7234	2247
763	7242	2237
764	7251	2227
